product_id,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01
1,30,102,503,373,554,427,455,217,379,567,440,366,491,237,648,466,217,568,320,310,354,540,440,377,304,527,564,307,302,202,642,622,477,139
2,96,67,516,194,612,323,558,293,397,521,141,263,307,303,704,523,376,457,476,120,504,391,365,261,470,450,527,566,225,337,338,496,471,120
3,89,289,283,469,426,499,432,417,518,500,216,450,436,424,551,406,444,381,536,450,371,462,465,408,467,276,391,576,149,383,365,563,758,33
4,158,162,433,575,456,455,345,272,308,393,295,257,366,368,401,579,358,209,541,483,430,345,609,188,521,458,316,522,506,488,316,533,432,208
5,160,198,419,482,405,428,619,306,336,308,386,428,304,581,436,297,735,532,361,449,372,496,523,482,381,320,553,411,518,330,351,633,434,182
6,66,185,218,447,571,349,635,307,361,494,641,268,384,349,301,392,437,397,486,491,263,644,381,575,433,283,352,463,583,432,664,380,434,192
7,152,224,344,430,490,392,498,315,313,608,598,390,452,410,380,289,601,348,485,526,568,263,343,704,326,255,229,308,433,307,558,535,593,160
8,70,47,688,384,301,392,702,319,446,457,291,292,589,290,602,592,421,242,517,567,270,326,348,369,490,255,608,605,483,548,218,335,268,173
9,81,348,372,421,474,268,410,452,556,488,351,413,550,379,343,362,497,647,377,552,500,276,348,424,474,477,374,519,582,416,420,331,299,206
10,55,196,435,335,508,317,424,517,537,616,242,412,492,419,409,559,440,408,463,478,361,382,446,475,529,403,423,297,562,202,542,245,329,138
11,145,203,507,421,204,286,518,278,767,263,142,456,374,385,620,290,459,717,402,332,616,362,288,617,501,275,474,499,485,546,407,315,586,130
12,23,26,488,370,544,349,399,624,302,603,479,373,365,345,502,335,443,359,392,311,264,682,235,507,315,100,432,370,327,336,470,303,451,125
13,97,148,478,439,576,295,444,368,310,514,294,436,309,713,466,470,420,580,356,295,645,391,483,224,561,474,473,654,238,636,225,507,549,122
14,132,155,340,414,453,299,345,285,237,479,497,545,480,374,436,502,178,586,291,614,273,308,478,365,332,542,483,325,432,458,223,502,499,86
15,122,133,534,333,456,279,419,281,283,288,510,447,467,441,544,472,465,500,165,276,349,284,404,761,560,144,743,278,395,505,362,398,664,84
16,106,196,515,364,397,627,263,445,526,390,395,375,355,427,667,493,368,187,441,393,714,440,542,244,401,479,354,456,527,536,608,245,464,134
17,78,269,260,457,576,414,418,424,524,350,295,376,396,626,323,435,401,393,468,603,546,322,471,268,420,253,503,409,426,503,468,523,473,256
18,37,143,542,497,447,266,487,293,269,498,487,636,379,482,380,350,499,432,376,484,530,508,490,469,408,502,431,335,437,503,473,313,639,110
19,49,164,519,242,578,447,497,355,461,371,454,525,382,324,587,323,405,435,409,635,422,294,684,545,341,375,553,507,293,248,483,386,583,142
20,74,187,452,384,281,674,322,387,164,546,458,569,363,472,534,376,431,400,467,283,487,339,420,445,555,453,329,760,361,509,336,379,508,168
21,125,143,510,447,401,382,281,471,572,332,358,356,316,425,598,355,362,591,506,400,379,432,234,706,398,334,326,591,574,457,498,338,381,169
22,136,226,395,464,189,459,675,360,386,595,256,313,252,559,588,504,235,214,600,353,385,379,603,597,338,459,589,227,375,370,135,572,389,217
23,153,253,395,322,607,328,175,327,667,475,473,496,454,285,566,385,395,476,566,414,500,173,292,303,461,677,275,320,407,508,619,573,637,42
24,138,315,181,502,387,331,350,464,586,421,439,431,457,469,341,474,456,428,503,485,506,346,418,457,382,402,295,576,705,387,509,283,400,244
25,126,198,410,431,275,441,463,441,262,221,459,490,246,475,384,428,510,402,461,644,334,441,266,839,357,324,594,437,526,298,435,468,487,178
26,84,232,340,386,616,397,178,230,675,573,441,325,179,411,269,497,171,337,380,561,401,567,418,621,383,346,403,406,252,439,511,471,427,248
27,148,276,319,524,219,527,510,382,314,476,349,586,267,278,434,500,491,491,514,456,210,409,450,433,323,484,293,439,528,308,558,359,338,85
28,48,159,355,298,428,180,668,325,483,418,417,545,388,441,583,302,510,547,377,541,497,397,500,469,443,319,273,447,488,583,734,125,213,94
29,81,211,430,351,604,308,492,345,444,545,297,451,415,495,515,484,172,549,513,510,233,448,406,347,214,661,457,358,507,546,302,579,472,154
30,48,62,379,479,676,343,429,427,512,338,463,294,671,258,429,496,463,612,315,536,202,532,461,562,560,463,487,335,291,408,531,497,549,87
31,109,158,353,689,355,381,470,450,460,429,331,256,460,441,459,284,373,435,332,693,341,556,480,489,367,509,402,366,347,583,402,436,490,155
32,15,97,583,396,460,400,518,188,633,458,421,315,394,387,486,489,511,422,353,375,378,574,449,452,440,287,472,283,675,393,518,747,286,125
33,124,237,456,372,400,374,507,432,364,307,448,632,545,221,444,441,585,434,512,500,266,451,529,304,262,339,519,382,621,184,443,294,416,141
34,156,20,327,395,505,332,449,644,318,380,375,536,514,311,466,472,459,323,402,392,528,441,368,226,310,331,280,556,683,270,523,434,489,174
35,51,244,329,433,413,331,438,188,331,405,411,504,525,328,495,630,359,520,412,418,301,524,539,364,398,397,364,345,341,505,330,257,528,233
36,37,483,249,308,370,485,410,449,373,504,386,354,495,279,525,500,434,518,493,514,293,634,333,245,268,493,448,498,348,557,476,339,334,267
37,72,241,541,293,268,512,501,406,520,445,577,229,436,352,246,491,764,307,537,289,418,428,554,340,437,624,597,344,413,637,317,249,567,115
38,73,282,263,402,477,459,286,345,471,307,222,384,389,191,374,670,461,441,405,451,299,316,479,643,359,549,414,369,470,329,282,403,559,240
39,177,198,427,497,429,371,324,444,576,344,306,565,523,420,417,461,507,448,513,444,414,363,246,457,443,497,599,308,715,338,487,389,317,111
