transaction_id,type,cost,date,date_time,month,quarter
1,fuel,463.5495883608549,2025-04-10,2025-04-10,2025-04,2025Q2
2,fuel,1106.8382274199375,2025-04-10,2025-04-10,2025-04,2025Q2
3,fuel,562.1993617516912,2025-04-10,2025-04-10,2025-04,2025Q2
4,fuel,631.6425475681053,2025-04-10,2025-04-10,2025-04,2025Q2
5,fuel,1185.718169628965,2025-04-10,2025-04-10,2025-04,2025Q2
6,fuel,874.104360769309,2025-04-10,2025-04-10,2025-04,2025Q2
7,fuel,944.534031115078,2025-04-10,2025-04-10,2025-04,2025Q2
8,fuel,677.3417111302449,2025-04-10,2025-04-10,2025-04,2025Q2
9,fuel,691.0655485879394,2025-04-10,2025-04-10,2025-04,2025Q2
10,fuel,985.8505353332387,2025-04-10,2025-04-10,2025-04,2025Q2
11,delivery,3096.0,2025-04-10,2025-04-10,2025-04,2025Q2
12,fuel,86.8,2025-04-10,2025-04-10,2025-04,2025Q2
13,delivery,8122.73,2025-04-10,2025-04-10,2025-04,2025Q2
14,fuel,28.956666666666667,2025-04-10,2025-04-10,2025-04,2025Q2
15,delivery,1396.1000000000001,2025-04-10,2025-04-10,2025-04,2025Q2
16,fuel,51.59,2025-04-10,2025-04-10,2025-04,2025Q2
17,delivery,7130.419999999999,2025-04-10,2025-04-10,2025-04,2025Q2
18,fuel,114.59,2025-04-10,2025-04-10,2025-04,2025Q2
19,delivery,6579.28,2025-04-10,2025-04-10,2025-04,2025Q2
20,fuel,54.83333333333333,2025-04-10,2025-04-10,2025-04,2025Q2
21,delivery,3462.4800000000005,2025-04-10,2025-04-10,2025-04,2025Q2
22,fuel,11.433333333333335,2025-04-10,2025-04-10,2025-04,2025Q2
23,delivery,3111.41,2025-04-10,2025-04-10,2025-04,2025Q2
24,fuel,45.01,2025-04-10,2025-04-10,2025-04,2025Q2
25,delivery,1492.8600000000001,2025-04-10,2025-04-10,2025-04,2025Q2
26,fuel,45.01,2025-04-10,2025-04-10,2025-04,2025Q2
27,delivery,6771.849999999999,2025-04-10,2025-04-10,2025-04,2025Q2
28,fuel,51.59,2025-04-10,2025-04-10,2025-04,2025Q2
29,delivery,9529.86,2025-04-10,2025-04-10,2025-04,2025Q2
30,fuel,97.55666666666667,2025-04-10,2025-04-10,2025-04,2025Q2
31,delivery,2954.23,2025-04-10,2025-04-10,2025-04,2025Q2
32,fuel,84.09333333333333,2025-04-10,2025-04-10,2025-04,2025Q2
33,delivery,4062.0299999999997,2025-04-10,2025-04-10,2025-04,2025Q2
34,fuel,83.23,2025-04-10,2025-04-10,2025-04,2025Q2
35,delivery,679.92,2025-04-10,2025-04-10,2025-04,2025Q2
36,fuel,81.41000000000001,2025-04-10,2025-04-10,2025-04,2025Q2
37,delivery,1327.15,2025-04-10,2025-04-10,2025-04,2025Q2
38,fuel,55.90666666666667,2025-04-10,2025-04-10,2025-04,2025Q2
39,delivery,2240.64,2025-04-10,2025-04-10,2025-04,2025Q2
40,fuel,16.426666666666666,2025-04-10,2025-04-10,2025-04,2025Q2
41,delivery,5390.379999999999,2025-04-10,2025-04-10,2025-04,2025Q2
42,fuel,114.59,2025-04-10,2025-04-10,2025-04,2025Q2
43,delivery,14568.490000000002,2025-04-10,2025-04-10,2025-04,2025Q2
44,fuel,2.4033333333333333,2025-04-10,2025-04-10,2025-04,2025Q2
45,delivery,3956.3999999999996,2025-04-10,2025-04-10,2025-04,2025Q2
46,fuel,51.42666666666667,2025-04-10,2025-04-10,2025-04,2025Q2
47,delivery,3462.4800000000005,2025-04-10,2025-04-10,2025-04,2025Q2
48,fuel,81.41000000000001,2025-04-10,2025-04-10,2025-04,2025Q2
49,delivery,6408.7,2025-04-10,2025-04-10,2025-04,2025Q2
50,fuel,9.123333333333335,2025-04-10,2025-04-10,2025-04,2025Q2
51,fuel,504.7982226059298,2025-04-11,2025-04-11,2025-04,2025Q2
52,fuel,1081.3972716295802,2025-04-11,2025-04-11,2025-04,2025Q2
53,delivery,6505.450000000001,2025-04-11,2025-04-11,2025-04,2025Q2
54,fuel,90.58,2025-04-11,2025-04-11,2025-04,2025Q2
55,delivery,11816.79,2025-04-11,2025-04-11,2025-04,2025Q2
56,fuel,2.4033333333333333,2025-04-11,2025-04-11,2025-04,2025Q2
57,delivery,651.48,2025-04-11,2025-04-11,2025-04,2025Q2
58,fuel,51.42666666666667,2025-04-11,2025-04-11,2025-04,2025Q2
59,delivery,3471.5499999999997,2025-04-11,2025-04-11,2025-04,2025Q2
60,fuel,45.01,2025-04-11,2025-04-11,2025-04,2025Q2
61,delivery,71.28,2025-04-11,2025-04-11,2025-04,2025Q2
62,fuel,83.23,2025-04-11,2025-04-11,2025-04,2025Q2
63,delivery,13604.750000000002,2025-04-11,2025-04-11,2025-04,2025Q2
64,fuel,51.42666666666667,2025-04-11,2025-04-11,2025-04,2025Q2
65,delivery,6201.18,2025-04-11,2025-04-11,2025-04,2025Q2
66,fuel,9.123333333333335,2025-04-11,2025-04-11,2025-04,2025Q2
67,delivery,12995.369999999999,2025-04-11,2025-04-11,2025-04,2025Q2
68,fuel,54.83333333333333,2025-04-11,2025-04-11,2025-04,2025Q2
69,delivery,7786.35,2025-04-11,2025-04-11,2025-04,2025Q2
70,fuel,37.846666666666664,2025-04-11,2025-04-11,2025-04,2025Q2
