pellet_id,name,category,cost,weight,received,sell_by,refrigerated,sent
1,Whole Milk,Dairy,140.4,254.27,2025-02-23,2025-03-08,True,False
2,Whole Milk,Dairy,140.4,357.17,2025-03-27,2025-04-22,True,False
3,Whole Milk,Dairy,140.4,387.35,2025-02-13,2025-02-26,True,False
4,Whole Milk,Dairy,140.4,352.9,2025-02-05,2025-03-04,True,False
5,Whole Milk,Dairy,140.4,257.33,2025-03-12,2025-04-12,True,False
6,Whole Milk,Dairy,140.4,200.6,2025-04-02,2025-04-12,True,False
7,Whole Milk,Dairy,140.4,365.82,2025-02-18,2025-04-01,True,False
8,Whole Milk,Dairy,140.4,333.03,2025-03-24,2025-04-26,True,False
9,Whole Milk,Dairy,140.4,326.37,2025-03-17,2025-04-14,True,False
10,Whole Milk,Dairy,140.4,381.72,2025-02-07,2025-03-12,True,False
11,Whole Milk,Dairy,140.4,216.98,2025-02-08,2025-02-27,True,False
12,Whole Milk,Dairy,140.4,383.48,2025-02-14,2025-03-09,True,False
13,Whole Milk,Dairy,140.4,263.65,2025-03-09,2025-04-23,True,False
14,Whole Milk,Dairy,140.4,262.72,2025-03-15,2025-04-04,True,False
15,Whole Milk,Dairy,140.4,277.68,2025-03-13,2025-04-17,True,False
16,Whole Milk,Dairy,140.4,383.36,2025-03-26,2025-05-04,True,False
17,Whole Milk,Dairy,140.4,308.91,2025-03-18,2025-04-16,True,False
18,Whole Milk,Dairy,140.4,270.05,2025-03-08,2025-03-31,True,False
19,Whole Milk,Dairy,140.4,203.39,2025-02-27,2025-03-23,True,False
20,Whole Milk,Dairy,140.4,219.16,2025-03-21,2025-04-17,True,False
21,Whole Milk,Dairy,140.4,210.6,2025-02-05,2025-03-06,True,False
22,Whole Milk,Dairy,140.4,325.7,2025-03-24,2025-04-12,True,False
23,Whole Milk,Dairy,140.4,296.9,2025-03-24,2025-04-26,True,False
24,Whole Milk,Dairy,140.4,317.17,2025-02-06,2025-02-24,True,False
25,Whole Milk,Dairy,140.4,268.77,2025-03-22,2025-04-03,True,False
26,Whole Milk,Dairy,140.4,386.06,2025-03-10,2025-04-21,True,False
27,Whole Milk,Dairy,140.4,211.47,2025-02-20,2025-03-15,True,False
28,Whole Milk,Dairy,140.4,215.24,2025-03-11,2025-03-27,True,False
29,Whole Milk,Dairy,140.4,238.61,2025-02-03,2025-02-18,True,False
30,Whole Milk,Dairy,140.4,322.04,2025-03-10,2025-03-27,True,False
31,Whole Milk,Dairy,140.4,301.97,2025-03-08,2025-04-18,True,False
32,Whole Milk,Dairy,140.4,250.08,2025-02-24,2025-03-23,True,False
33,Whole Milk,Dairy,140.4,302.39,2025-02-16,2025-03-13,True,False
34,Whole Milk,Dairy,140.4,332.95,2025-02-19,2025-03-16,True,False
35,Whole Milk,Dairy,140.4,278.37,2025-03-18,2025-04-29,True,False
36,Whole Milk,Dairy,140.4,255.44,2025-02-15,2025-03-28,True,False
37,Whole Milk,Dairy,140.4,275.79,2025-03-25,2025-04-26,True,False
38,Whole Milk,Dairy,140.4,290.59,2025-02-16,2025-03-11,True,False
39,Whole Milk,Dairy,140.4,343.01,2025-03-04,2025-03-25,True,False
40,Whole Milk,Dairy,140.4,293.01,2025-03-13,2025-04-08,True,False
41,Whole Milk,Dairy,140.4,315.56,2025-02-20,2025-03-19,True,False
42,Whole Milk,Dairy,140.4,305.04,2025-03-09,2025-03-29,True,False
43,Whole Milk,Dairy,140.4,375.08,2025-02-26,2025-03-08,True,False
44,Whole Milk,Dairy,140.4,212.12,2025-02-19,2025-03-31,True,False
45,Whole Milk,Dairy,140.4,348.13,2025-02-15,2025-03-11,True,False
46,Whole Milk,Dairy,140.4,353.36,2025-02-22,2025-03-10,True,False
47,Whole Milk,Dairy,140.4,347.39,2025-03-18,2025-04-20,True,False
48,Whole Milk,Dairy,140.4,215.48,2025-03-05,2025-04-06,True,False
49,Whole Milk,Dairy,140.4,341.62,2025-03-15,2025-03-26,True,False
50,Whole Milk,Dairy,140.4,249.0,2025-03-28,2025-04-17,True,False
51,Whole Milk,Dairy,140.4,295.99,2025-02-10,2025-03-25,True,False
52,Whole Milk,Dairy,140.4,330.93,2025-03-20,2025-04-07,True,False
